case,source_count,detected_channels,cleared_channels,total_virtual_time_s,measure_actions,clear_actions
1,10,10,10,4133.424,132,10
2,15,15,15,4402.124,124,16
3,14,14,14,4468.878,126,16
4,16,16,16,4847.24,131,26
5,10,10,10,3675.413,133,10
6,10,10,10,4211.983,129,12
7,13,13,13,4462.924,127,17
8,10,10,10,3610.127,135,10
9,14,14,14,4542.389,134,18
10,10,10,10,4032.481,124,14
11,13,13,13,4646.299,135,18
12,16,16,16,4412.862,106,18
13,16,16,16,5575.773,138,28
14,16,16,16,4154.636,82,28
15,15,15,15,4387.677,114,18
16,12,12,12,4114.703,131,16
17,10,10,10,3794.967,125,10
18,16,16,16,4125.973,78,39
19,10,10,10,4531.602,132,13
20,12,12,12,4588.987,132,13
21,13,13,13,4587.084,130,14
22,16,16,16,4222.355,124,19
23,11,11,11,4066.385,131,15
24,14,14,14,4086.508,125,14
25,10,10,10,4482.97,137,19
26,14,14,14,4237.387,126,18
27,10,10,10,3610.802,124,10
28,10,10,10,4074.185,130,10
29,13,13,13,4900.164,134,20
30,15,15,15,5032.538,118,23
31,15,15,15,4392.507,131,15
32,11,11,11,3908.777,118,14
33,12,12,12,5068.697,134,22
34,11,11,11,4307.324,128,16
35,13,13,13,3915.212,116,13
36,15,15,15,4479.666,128,22
37,11,11,11,4313.397,139,15
38,13,13,13,4481.077,117,13
39,12,12,12,4704.668,134,12
40,15,15,15,4290.892,108,17
41,13,13,13,4994.593,125,23
42,15,15,15,4211.611,110,16
43,11,11,11,4056.281,135,11
44,11,11,11,4191.29,133,15
45,12,12,12,4754.27,126,20
46,16,16,16,4267.208,120,23
47,10,10,10,3883.879,128,10
48,13,13,13,4307.292,120,13
49,13,13,13,5267.778,142,26
50,16,16,16,4528.398,133,30
51,14,14,14,4364.264,133,14
52,12,12,12,4223.768,123,12
53,12,12,12,4459.728,133,13
54,10,10,10,4996.564,134,17
55,16,16,16,4352.092,131,16
56,16,16,16,5308.027,123,23
57,13,13,13,4371.298,127,18
58,15,15,15,4165.329,119,23
59,14,14,14,4402.229,120,18
60,11,11,11,4249.611,126,17
61,11,11,11,4038.089,129,11
62,12,12,12,4246.086,123,13
63,10,10,10,4146.734,128,10
64,14,14,14,4246.736,118,28
65,11,11,11,4032.891,131,11
66,14,14,14,4671.949,129,28
67,11,11,11,4156.51,136,11
68,11,11,11,4173.019,133,11
69,13,13,13,3813.762,124,13
70,10,10,10,4622.184,135,20
71,14,14,14,5037.779,128,24
72,10,10,10,4493.18,131,12
73,16,16,16,6312.074,126,43
74,16,16,16,4747.31,124,25
75,11,11,11,4380.413,127,12
76,11,11,11,4829.815,130,12
77,13,13,13,4560.674,125,13
78,10,10,10,3654.847,130,10
79,14,14,14,4135.018,118,17
80,11,11,11,4154.026,136,12
81,11,11,11,4335.466,142,11
82,16,16,16,4620.618,131,18
83,12,12,12,4173.82,129,14
84,12,12,12,4011.954,124,15
85,11,11,11,4479.148,123,15
86,12,12,12,4256.84,120,16
87,12,12,12,4459.559,126,20
88,11,11,11,4089.137,135,14
89,11,11,11,4545.457,136,11
90,10,10,10,3819.59,124,12
91,14,14,14,4903.239,146,20
92,10,10,10,3772.542,126,15
93,10,10,10,4306.166,135,15
94,15,15,15,4256.827,123,19
95,11,11,11,4010.578,125,16
96,11,11,11,3761.227,123,18
97,13,13,13,4192.991,137,17
98,15,15,15,4506.264,123,15
99,16,16,16,5116.787,121,26
100,13,13,13,4277.542,125,13
101,15,15,15,4430.352,123,16
102,10,10,10,4749.07,143,15
103,14,14,14,5141.703,132,18
104,16,16,16,5645.277,134,26
105,12,12,12,4699.273,134,22
106,12,12,12,4394.178,128,12
107,13,13,13,4494.486,136,13
108,15,15,15,4792.308,126,22
109,13,13,13,4537.766,128,15
110,12,12,12,4005.398,130,12
111,14,14,14,4247.342,124,16
112,11,11,11,4715.72,127,11
113,14,14,14,5014.857,124,14
114,16,16,16,4800.845,118,25
115,12,12,12,4186.976,135,13
116,13,13,13,4742.483,126,13
117,10,10,10,3701.784,130,10
118,11,11,11,4243.592,128,12
119,10,10,10,4063.137,129,10
120,11,11,11,4033.059,110,11
121,13,13,13,4295.584,128,13
122,16,16,16,4738.936,114,27
123,13,13,13,4322.665,126,16
124,16,16,16,4934.455,129,21
